step,window,fill_count,fill_probability,fill_total,mean_window,sd_window,optional_reset_rate,forced_reset_rate
8,6,11900,0.16994659,70022,6.39313359,1.47013250,0.16228000,0.13750000
8,7,15021,0.21451829,70022,6.39313359,1.47013250,0.16228000,0.13750000
8,8,22258,0.31787153,70022,6.39313359,1.47013250,0.16228000,0.13750000
9,1,26,0.00037130,70024,6.01650863,1.57148540,0.19194000,0.10782000
9,2,177,0.00252770,70024,6.01650863,1.57148540,0.19194000,0.10782000
9,3,2461,0.03514509,70024,6.01650863,1.57148540,0.19194000,0.10782000
9,4,13547,0.19346224,70024,6.01650863,1.57148540,0.19194000,0.10782000
9,5,11336,0.16188735,70024,6.01650863,1.57148540,0.19194000,0.10782000
9,6,11663,0.16655718,70024,6.01650863,1.57148540,0.19194000,0.10782000
9,7,13821,0.19737519,70024,6.01650863,1.57148540,0.19194000,0.10782000
9,8,16993,0.24267394,70024,6.01650863,1.57148540,0.19194000,0.10782000
10,1,50,0.00070533,70889,5.69724499,1.61388948,0.21065000,0.08046000
10,2,387,0.00545924,70889,5.69724499,1.61388948,0.21065000,0.08046000
10,3,4032,0.05687765,70889,5.69724499,1.61388948,0.21065000,0.08046000
10,4,17126,0.24158896,70889,5.69724499,1.61388948,0.21065000,0.08046000
10,5,12620,0.17802480,70889,5.69724499,1.61388948,0.21065000,0.08046000
10,6,10860,0.15319725,70889,5.69724499,1.61388948,0.21065000,0.08046000
10,7,12324,0.17384926,70889,5.69724499,1.61388948,0.21065000,0.08046000
10,8,13490,0.19029751,70889,5.69724499,1.61388948,0.21065000,0.08046000
11,1,98,0.00137004,71531,5.39223553,1.65647273,0.22373000,0.06096000
11,2,1116,0.01560163,71531,5.39223553,1.65647273,0.22373000,0.06096000
11,3,7512,0.10501741,71531,5.39223553,1.65647273,0.22373000,0.06096000
11,4,16732,0.23391257,71531,5.39223553,1.65647273,0.22373000,0.06096000
11,5,14586,0.20391159,71531,5.39223553,1.65647273,0.22373000,0.06096000
11,6,10022,0.14010709,71531,5.39223553,1.65647273,0.22373000,0.06096000
11,7,10864,0.15187821,71531,5.39223553,1.65647273,0.22373000,0.06096000
11,8,10601,0.14820148,71531,5.39223553,1.65647273,0.22373000,0.06096000
12,1,148,0.00202421,73115,5.07080626,1.69974288,0.22034000,0.04851000
12,2,2313,0.03163510,73115,5.07080626,1.69974288,0.22034000,0.04851000
12,3,12810,0.17520345,73115,5.07080626,1.69974288,0.22034000,0.04851000
12,4,14905,0.20385694,73115,5.07080626,1.69974288,0.22034000,0.04851000
12,5,15928,0.21784859,73115,5.07080626,1.69974288,0.22034000,0.04851000
12,6,9088,0.12429734,73115,5.07080626,1.69974288,0.22034000,0.04851000
12,7,9624,0.13162826,73115,5.07080626,1.69974288,0.22034000,0.04851000
12,8,8299,0.11350612,73115,5.07080626,1.69974288,0.22034000,0.04851000
13,1,267,0.00356523,74890,4.81671785,1.68274279,0.21279000,0.03831000
13,2,3070,0.04099346,74890,4.81671785,1.68274279,0.21279000,0.03831000
13,3,16223,0.21662438,74890,4.81671785,1.68274279,0.21279000,0.03831000
13,4,15630,0.20870610,74890,4.81671785,1.68274279,0.21279000,0.03831000
13,5,17019,0.22725330,74890,4.81671785,1.68274279,0.21279000,0.03831000
13,6,7549,0.10080118,74890,4.81671785,1.68274279,0.21279000,0.03831000
13,7,8317,0.11105622,74890,4.81671785,1.68274279,0.21279000,0.03831000
13,8,6815,0.09100013,74890,4.81671785,1.68274279,0.21279000,0.03831000
14,1,795,0.01049741,75733,4.63095348,1.63736928,0.21003000,0.03264000
14,2,3536,0.04669035,75733,4.63095348,1.63736928,0.21003000,0.03264000
14,3,16754,0.22122457,75733,4.63095348,1.63736928,0.21003000,0.03264000
14,4,17466,0.23062602,75733,4.63095348,1.63736928,0.21003000,0.03264000
14,5,18570,0.24520354,75733,4.63095348,1.63736928,0.21003000,0.03264000
14,6,5967,0.07878996,75733,4.63095348,1.63736928,0.21003000,0.03264000
14,7,7089,0.09360517,75733,4.63095348,1.63736928,0.21003000,0.03264000
14,8,5556,0.07336300,75733,4.63095348,1.63736928,0.21003000,0.03264000
15,1,3018,0.03988845,75661,4.44008142,1.65292329,0.21669000,0.02670000
15,2,4045,0.05346215,75661,4.44008142,1.65292329,0.21669000,0.02670000
15,3,14938,0.19743329,75661,4.44008142,1.65292329,0.21669000,0.02670000
15,4,18029,0.23828657,75661,4.44008142,1.65292329,0.21669000,0.02670000
15,5,20611,0.27241247,75661,4.44008142,1.65292329,0.21669000,0.02670000
15,6,4672,0.06174912,75661,4.44008142,1.65292329,0.21669000,0.02670000
15,7,5968,0.07887815,75661,4.44008142,1.65292329,0.21669000,0.02670000
15,8,4380,0.05788980,75661,4.44008142,1.65292329,0.21669000,0.02670000
16,1,6780,0.09013800,75218,4.19158978,1.75033756,0.22660000,0.02122000
16,2,5280,0.07019596,75218,4.19158978,1.75033756,0.22660000,0.02122000
16,3,12583,0.16728709,75218,4.19158978,1.75033756,0.22660000,0.02122000
16,4,17154,0.22805711,75218,4.19158978,1.75033756,0.22660000,0.02122000
16,5,21168,0.28142200,75218,4.19158978,1.75033756,0.22660000,0.02122000
16,6,3634,0.04831290,75218,4.19158978,1.75033756,0.22660000,0.02122000
16,7,5018,0.06671275,75218,4.19158978,1.75033756,0.22660000,0.02122000
16,8,3601,0.04787418,75218,4.19158978,1.75033756,0.22660000,0.02122000
17,1,10313,0.13807739,74690,3.88256795,1.81066226,0.23611000,0.01699000
17,2,7476,0.10009372,74690,3.88256795,1.81066226,0.23611000,0.01699000
17,3,11478,0.15367519,74690,3.88256795,1.81066226,0.23611000,0.01699000
17,4,16008,0.21432588,74690,3.88256795,1.81066226,0.23611000,0.01699000
17,5,19828,0.26547061,74690,3.88256795,1.81066226,0.23611000,0.01699000
17,6,2764,0.03700629,74690,3.88256795,1.81066226,0.23611000,0.01699000
17,7,4050,0.05422413,74690,3.88256795,1.81066226,0.23611000,0.01699000
17,8,2773,0.03712679,74690,3.88256795,1.81066226,0.23611000,0.01699000
