side,window,step,count,probability
1,5,11,3326,0.03326000
1,5,12,4393,0.04393000
1,5,13,5093,0.05093000
1,5,14,5864,0.05864000
1,5,15,6330,0.06330000
1,5,16,6758,0.06758000
1,5,17,7151,0.07151000
1,5,18,7182,0.07182000
1,5,19,6674,0.06674000
1,5,20,5947,0.05947000
1,5,21,4906,0.04906000
1,5,22,4316,0.04316000
1,5,23,3628,0.03628000
1,5,24,3190,0.03190000
1,5,25,2762,0.02762000
1,5,26,2305,0.02305000
1,5,27,1811,0.01811000
1,5,28,1499,0.01499000
1,5,29,1124,0.01124000
1,5,30,834,0.00834000
1,5,31,610,0.00610000
1,5,32,451,0.00451000
1,5,33,290,0.00290000
1,5,34,212,0.00212000
1,5,35,140,0.00140000
1,5,36,99,0.00099000
1,5,37,62,0.00062000
1,5,38,42,0.00042000
1,5,39,30,0.00030000
1,5,40,24,0.00024000
1,5,41,19,0.00019000
1,5,42,6,0.00006000
1,5,43,8,0.00008000
1,5,44,7,0.00007000
1,6,0,0,0.00000000
1,6,1,0,0.00000000
1,6,2,19108,0.19108000
1,6,3,2080,0.02080000
1,6,4,4030,0.04030000
1,6,5,4709,0.04709000
1,6,6,4809,0.04809000
1,6,7,6092,0.06092000
1,6,8,7064,0.07064000
1,6,9,7027,0.07027000
1,6,10,7345,0.07345000
1,6,11,7196,0.07196000
1,6,12,6474,0.06474000
1,6,13,5386,0.05386000
1,6,14,4280,0.04280000
1,6,15,3375,0.03375000
1,6,16,2501,0.02501000
1,6,17,1873,0.01873000
1,6,18,1432,0.01432000
1,6,19,1173,0.01173000
1,6,20,872,0.00872000
1,6,21,732,0.00732000
1,6,22,522,0.00522000
1,6,23,432,0.00432000
1,6,24,328,0.00328000
1,6,25,263,0.00263000
1,6,26,228,0.00228000
1,6,27,171,0.00171000
1,6,28,150,0.00150000
1,6,29,98,0.00098000
1,6,30,58,0.00058000
1,6,31,55,0.00055000
1,6,32,30,0.00030000
1,6,33,31,0.00031000
1,6,34,20,0.00020000
1,6,35,16,0.00016000
1,6,36,7,0.00007000
1,6,37,9,0.00009000
1,6,38,6,0.00006000
1,6,39,9,0.00009000
1,6,40,5,0.00005000
1,6,41,0,0.00000000
1,6,42,0,0.00000000
1,6,43,0,0.00000000
1,6,44,1,0.00001000
1,7,0,0,0.00000000
1,7,1,0,0.00000000
1,7,2,758,0.00758000
1,7,3,6411,0.06411000
1,7,4,7452,0.07452000
1,7,5,8192,0.08192000
1,7,6,6910,0.06910000
1,7,7,7456,0.07456000
1,7,8,7517,0.07517000
1,7,9,7891,0.07891000
1,7,10,7517,0.07517000
1,7,11,6530,0.06530000
1,7,12,5406,0.05406000
1,7,13,4620,0.04620000
1,7,14,4055,0.04055000
1,7,15,3469,0.03469000
1,7,16,3087,0.03087000
1,7,17,2539,0.02539000
1,7,18,2102,0.02102000
1,7,19,1728,0.01728000
1,7,20,1344,0.01344000
1,7,21,1119,0.01119000
1,7,22,868,0.00868000
1,7,23,652,0.00652000
1,7,24,545,0.00545000
1,7,25,425,0.00425000
1,7,26,316,0.00316000
1,7,27,254,0.00254000
1,7,28,203,0.00203000
1,7,29,150,0.00150000
1,7,30,134,0.00134000
1,7,31,77,0.00077000
1,7,32,69,0.00069000
1,7,33,51,0.00051000
1,7,34,41,0.00041000
1,7,35,34,0.00034000
1,7,36,18,0.00018000
1,7,37,17,0.00017000
1,7,38,10,0.00010000
1,7,39,5,0.00005000
1,7,40,6,0.00006000
1,7,41,7,0.00007000
1,7,42,2,0.00002000
1,7,43,5,0.00005000
1,7,44,2,0.00002000
1,8,0,0,0.00000000
1,8,1,0,0.00000000
1,8,2,33,0.00033000
1,8,3,1552,0.01552000
1,8,4,4704,0.04704000
1,8,5,8383,0.08383000
1,8,6,11213,0.11213000
1,8,7,11800,0.11800000
1,8,8,10932,0.10932000
1,8,9,9502,0.09502000
1,8,10,8110,0.08110000
1,8,11,6690,0.06690000
1,8,12,5167,0.05167000
1,8,13,4202,0.04202000
1,8,14,3616,0.03616000
1,8,15,2985,0.02985000
1,8,16,2369,0.02369000
1,8,17,1875,0.01875000
1,8,18,1563,0.01563000
1,8,19,1206,0.01206000
1,8,20,1006,0.01006000
1,8,21,715,0.00715000
1,8,22,484,0.00484000
1,8,23,401,0.00401000
1,8,24,301,0.00301000
1,8,25,251,0.00251000
1,8,26,171,0.00171000
1,8,27,142,0.00142000
1,8,28,117,0.00117000
1,8,29,100,0.00100000
1,8,30,79,0.00079000
1,8,31,56,0.00056000
1,8,32,61,0.00061000
1,8,33,34,0.00034000
1,8,34,23,0.00023000
1,8,35,24,0.00024000
1,8,36,30,0.00030000
1,8,37,26,0.00026000
1,8,38,14,0.00014000
1,8,39,15,0.00015000
1,8,40,10,0.00010000
1,8,41,4,0.00004000
1,8,42,6,0.00006000
1,8,43,8,0.00008000
1,8,44,6,0.00006000
2,1,0,0,0.00000000
2,1,1,0,0.00000000
2,1,2,0,0.00000000
2,1,3,0,0.00000000
2,1,4,0,0.00000000
2,1,5,0,0.00000000
2,1,6,0,0.00000000
2,1,7,0,0.00000000
2,1,8,0,0.00000000
2,1,9,0,0.00000000
2,1,10,0,0.00000000
2,1,11,0,0.00000000
2,1,12,0,0.00000000
2,1,13,0,0.00000000
2,1,14,0,0.00000000
2,1,15,0,0.00000000
2,1,16,0,0.00000000
2,1,17,0,0.00000000
2,1,18,0,0.00000000
2,1,19,0,0.00000000
2,1,20,0,0.00000000
2,1,21,0,0.00000000
2,1,22,0,0.00000000
2,1,23,0,0.00000000
2,1,24,0,0.00000000
2,1,25,2,0.00002000
2,1,26,8,0.00008000
2,1,27,12,0.00012000
2,1,28,18,0.00018000
2,1,29,55,0.00055000
2,1,30,112,0.00112000
2,1,31,201,0.00201000
2,1,32,296,0.00296000
2,1,33,430,0.00430000
2,1,34,584,0.00584000
2,1,35,778,0.00778000
2,1,36,1024,0.01024000
2,1,37,1383,0.01383000
2,1,38,1684,0.01684000
2,1,39,2317,0.02317000
2,1,40,2863,0.02863000
2,1,41,3141,0.03141000
2,1,42,4075,0.04075000
2,1,43,4440,0.04440000
2,1,44,5093,0.05093000
2,2,0,0,0.00000000
2,2,1,0,0.00000000
2,2,2,0,0.00000000
2,2,3,0,0.00000000
2,2,4,0,0.00000000
2,2,5,0,0.00000000
2,2,6,0,0.00000000
2,2,7,0,0.00000000
2,2,8,0,0.00000000
2,2,9,0,0.00000000
2,2,10,0,0.00000000
2,2,11,0,0.00000000
2,2,12,0,0.00000000
2,2,13,0,0.00000000
2,2,14,0,0.00000000
2,2,15,0,0.00000000
2,2,16,0,0.00000000
2,2,17,0,0.00000000
2,2,18,0,0.00000000
2,2,19,0,0.00000000
2,2,20,1,0.00001000
2,2,21,0,0.00000000
2,2,22,4,0.00004000
2,2,23,7,0.00007000
2,2,24,7,0.00007000
2,2,25,26,0.00026000
2,2,26,59,0.00059000
2,2,27,119,0.00119000
2,2,28,200,0.00200000
2,2,29,347,0.00347000
2,2,30,567,0.00567000
2,2,31,809,0.00809000
2,2,32,1067,0.01067000
2,2,33,1471,0.01471000
2,2,34,1905,0.01905000
2,2,35,2357,0.02357000
2,2,36,2884,0.02884000
2,2,37,3487,0.03487000
2,2,38,4000,0.04000000
2,2,39,4554,0.04554000
2,2,40,5144,0.05144000
2,2,41,5497,0.05497000
2,2,42,6050,0.06050000
2,2,43,6135,0.06135000
2,2,44,6052,0.06052000
2,3,0,0,0.00000000
2,3,1,0,0.00000000
2,3,2,0,0.00000000
2,3,3,0,0.00000000
2,3,4,0,0.00000000
2,3,5,0,0.00000000
2,3,6,0,0.00000000
2,3,7,0,0.00000000
2,3,8,0,0.00000000
2,3,9,0,0.00000000
2,3,10,0,0.00000000
2,3,11,0,0.00000000
2,3,12,0,0.00000000
2,3,13,0,0.00000000
2,3,14,0,0.00000000
2,3,15,0,0.00000000
2,3,16,0,0.00000000
2,3,17,4,0.00004000
2,3,18,3,0.00003000
2,3,19,8,0.00008000
2,3,20,14,0.00014000
2,3,21,29,0.00029000
2,3,22,85,0.00085000
2,3,23,133,0.00133000
2,3,24,302,0.00302000
2,3,25,591,0.00591000
2,3,26,896,0.00896000
2,3,27,1167,0.01167000
2,3,28,1552,0.01552000
2,3,29,2075,0.02075000
2,3,30,2401,0.02401000
2,3,31,2946,0.02946000
2,3,32,3310,0.03310000
2,3,33,4114,0.04114000
2,3,34,4672,0.04672000
2,3,35,5232,0.05232000
2,3,36,5658,0.05658000
2,3,37,6141,0.06141000
2,3,38,6417,0.06417000
2,3,39,6183,0.06183000
2,3,40,6045,0.06045000
2,3,41,5614,0.05614000
2,3,42,5185,0.05185000
2,3,43,4420,0.04420000
2,3,44,3873,0.03873000
2,4,0,0,0.00000000
2,4,1,0,0.00000000
2,4,2,0,0.00000000
2,4,3,0,0.00000000
2,4,4,0,0.00000000
2,4,5,0,0.00000000
2,4,6,0,0.00000000
2,4,7,0,0.00000000
2,4,8,0,0.00000000
2,4,9,0,0.00000000
2,4,10,0,0.00000000
2,4,11,0,0.00000000
2,4,12,0,0.00000000
2,4,13,2,0.00002000
2,4,14,2,0.00002000
2,4,15,7,0.00007000
2,4,16,14,0.00014000
2,4,17,33,0.00033000
2,4,18,76,0.00076000
2,4,19,125,0.00125000
2,4,20,261,0.00261000
2,4,21,529,0.00529000
2,4,22,768,0.00768000
2,4,23,1093,0.01093000
2,4,24,1478,0.01478000
2,4,25,1938,0.01938000
2,4,26,2374,0.02374000
2,4,27,2951,0.02951000
2,4,28,3579,0.03579000
2,4,29,3765,0.03765000
2,4,30,3955,0.03955000
2,4,31,4516,0.04516000
2,4,32,4640,0.04640000
2,4,33,5365,0.05365000
2,4,34,5501,0.05501000
2,4,35,5586,0.05586000
2,4,36,5491,0.05491000
2,4,37,5572,0.05572000
2,4,38,5306,0.05306000
2,4,39,4607,0.04607000
2,4,40,3901,0.03901000
2,4,41,3632,0.03632000
2,4,42,2990,0.02990000
2,4,43,2643,0.02643000
2,4,44,2211,0.02211000
2,5,0,0,0.00000000
2,5,1,0,0.00000000
2,5,2,0,0.00000000
2,5,3,0,0.00000000
2,5,4,0,0.00000000
2,5,5,0,0.00000000
2,5,6,0,0.00000000
2,5,7,0,0.00000000
2,5,8,0,0.00000000
2,5,9,0,0.00000000
2,5,10,1,0.00001000
2,5,11,2,0.00002000
2,5,12,3,0.00003000
2,5,13,25,0.00025000
2,5,14,62,0.00062000
2,5,15,119,0.00119000
2,5,16,180,0.00180000
2,5,17,252,0.00252000
2,5,18,250,0.00250000
2,5,19,256,0.00256000
2,5,20,284,0.00284000
2,5,21,268,0.00268000
2,5,22,267,0.00267000
2,5,23,270,0.00270000
2,5,24,223,0.00223000
2,5,25,214,0.00214000
2,5,26,211,0.00211000
